Year,Month,First Day,Last Day,Change,Year_Month,Months_Passed
2012,1,4.58,5.55,21.17903930131004,2012-01-01,0
2012,2,5.55,4.99,-10.090090090090085,2012-02-01,1
2012,3,4.99,4.92,-1.4028056112224505,2012-03-01,2
2012,4,4.92,5.0,1.6260162601626031,2012-04-01,3
2012,5,5.0,5.14,2.7999999999999936,2012-05-01,4
2012,6,5.14,6.54,27.237354085603123,2012-06-01,5
2012,7,6.54,9.2,40.67278287461773,2012-07-01,6
2012,8,9.2,9.81,6.630434782608709,2012-08-01,7
2012,9,9.81,12.17,24.05708460754332,2012-09-01,8
2012,10,12.17,10.75,-11.668036154478225,2012-10-01,9
2012,11,10.75,12.42,15.534883720930232,2012-11-01,10
2012,12,12.42,13.24,6.602254428341388,2012-12-01,11
2013,1,13.24,20.79,57.02416918429002,2013-01-01,12
2013,2,20.79,33.98,63.44396344396343,2013-02-01,13
2013,3,33.98,94.08,176.8687463213655,2013-03-01,14
2013,4,94.08,136.84,45.45068027210885,2013-04-01,15
2013,5,137.09,127.24,-7.185060908891974,2013-05-01,16
2013,6,127.24,89.0,-30.05344231373781,2013-06-01,17
2013,7,89.01,99.67,11.976182451409947,2013-07-01,18
2013,8,98.72,131.24,32.94165316045382,2013-08-01,19
2013,9,131.96,126.24,-4.334646862685672,2013-09-01,20
2013,10,126.24,203.74,61.391001267427136,2013-10-01,21
2013,11,203.7,1110.09,444.9631811487481,2013-11-01,22
2013,12,1108.0,734.33,-33.724729241877256,2013-12-01,23
2014,1,734.33,801.46,9.141666553184534,2014-01-01,24
2014,2,802.0,575.5,-28.241895261845382,2014-02-01,25
2014,3,577.7,454.0,-21.412497836247194,2014-03-01,26
2014,4,453.8,447.56,-1.3750550903481729,2014-04-01,27
2014,5,445.23,622.0,39.70307481526402,2014-05-01,28
2014,6,621.01,643.41,3.6070272620408654,2014-06-01,29
2014,7,646.99,588.5,-9.04032519822563,2014-07-01,30
2014,8,587.15,477.78,-18.6272673081836,2014-08-01,31
2014,9,475.35,392.64,-17.39981066582519,2014-09-01,32
2014,10,396.0,341.82,-13.681818181818183,2014-10-01,33
2014,11,341.83,376.43,10.1219904630957,2014-11-01,34
2014,12,376.43,316.67,-15.87546157320086,2014-12-01,35
2015,1,316.67,230.59,-27.18287175924464,2015-01-01,36
2015,2,230.56,252.0,9.299097848716167,2015-02-01,37
